id,username,created_at,lng,lat,text
1517618690849755137,Ravus_Aeterna,Fri Apr 22 21:37:46 +0000 2022,-83.804475,27.698681999999998,Well today sure has been unnecessarily stressful but at least I’m seeing @Stray_Kids in July. RIP my wallet.… https://t.co/mrLaQGueQz
1517618694356090885,MrsRScott,Fri Apr 22 21:37:47 +0000 2022,-94.3783325,39.0880045,@ParkUBaseball1 @Truman_Baseball Big love for this!!! ❤💙❤💙
1517618695274696704,dallasmom53,Fri Apr 22 21:37:47 +0000 2022,-74.15394699999999,40.572376000000006,@kelly_ques Strength!  The one exception is “there’s no crying in baseball”.
1517618695505387526,zaraeleus,Fri Apr 22 21:37:47 +0000 2022,-82.369663,27.8230765,@FullMetalJaxx @tellesmith @TheWordAlive @twazack We haven't missed a Tampa area show if we could make it so nope not about to miss this one
1517618697430609920,JACKIEBEAT,Fri Apr 22 21:37:48 +0000 2022,-118.33150864,34.10142871,"Do you have any idea how excited I am!? @ Hollywood, California https://t.co/4AzKbrmRXe"
1517618697694859265,H00LiGAN_ROBB,Fri Apr 22 21:37:48 +0000 2022,-79.399611,36.052239,Another Long Workweek Done.
1517618698357334018,AaronJalaws256,Fri Apr 22 21:37:48 +0000 2022,-122.630908,45.536402,@TradeRumors_NBA I am all down for this
1517618698705588225,be_handy,Fri Apr 22 21:37:48 +0000 2022,-98.5406515,29.417501,@michael61475 @sw_hi_coo @KorbenDallas88 @CAKitchener No woman is obligated to justify her choice whether to carry… https://t.co/k3OrbTY5bD
1517618699225772034,JeffreyLayne7,Fri Apr 22 21:37:48 +0000 2022,-68.98470499999999,45.188407,@lovesati_sati Breakfast lunch And dinner
1517618699313852417,StormJib,Fri Apr 22 21:37:48 +0000 2022,-75.77004099999999,42.746617,"@michelletandler @NeilNasty7 Not sure, but buying Bitcoin would be a good response."
1517618699271823362,kizeliz,Fri Apr 22 21:37:48 +0000 2022,-122.3775,47.8106,Earth Day—Mother’s Day honoring Mother Nature!#earthday #earthfocus #mothernature #mothernaturerules… https://t.co/P7bnQu97Qv
1517618699586396160,MaryGeise,Fri Apr 22 21:37:48 +0000 2022,-75.117998,40.0048655,In Philly will I be able meet you  ???
1517618699938717696,TGossettRacing,Fri Apr 22 21:37:48 +0000 2022,-86.541606,35.954332,Hey @NASCARONFOX GET YOUR SHIT TOGETHER. No reason we see 1 car and then commercials.
1517618702295965704,gmoney990,Fri Apr 22 21:37:49 +0000 2022,-92.1778075,38.5526005,"To make tonight even more interesting, my #2 favorite team (Reds) takes on my least favorite NL team (aka everyone… https://t.co/Luv46gpg3V"
1517618702543319040,RalstonAlec,Fri Apr 22 21:37:49 +0000 2022,-76.1823735,43.088223,@dahunchback @nonbiasednbafan @ramonashelburne @wojespn I hope he’s ok
1517618703201935363,BillColbynewton,Fri Apr 22 21:37:49 +0000 2022,-93.044991,44.9638255,@mikepompeo WRONG. Republicans paid no attention to the border until Trump started his “border wall” nonsense.
1517618703462023168,KevinLa17106672,Fri Apr 22 21:37:49 +0000 2022,-86.4355085,36.965671,@MollyJongFast Is this a  Republican Cocain parties
1517618702539182081,Chr1stopherLara,Fri Apr 22 21:37:49 +0000 2022,-118.436484,34.210489,in the office at the office https://t.co/3Uj8xjbNAr
1517618703952658432,Sheiswavy,Fri Apr 22 21:37:49 +0000 2022,-73.8311875,40.6708795,@jessicnnt Nigga LMFAOOOOO
1517618703839420422,MrBall_CGWA,Fri Apr 22 21:37:49 +0000 2022,-84.43620589,38.03952049,Just posted a photo @ Carter G. Woodson Academy https://t.co/V51Y9lBkY3
1517618704569094144,Kamalei_N_Leiai,Fri Apr 22 21:37:49 +0000 2022,-158.212479,21.469393,Thank you Jim and @TananaLMahood for guest speaking with my students today! They enjoyed it so much. They are still… https://t.co/4V4FfrQ8fF
1517618706590879748,misfiredx,Fri Apr 22 21:37:50 +0000 2022,-74.288077,40.216589,@k8gif who knows guess my boobs make ppl mad
1517618704502169600,bgokdemir,Fri Apr 22 21:37:49 +0000 2022,-73.973496,40.781129,We have a T-Rex!#trex https://t.co/GIiFComO17
1517618707719200768,robdesign,Fri Apr 22 21:37:50 +0000 2022,-76.62048200000001,39.284712999999996,@JustAMomNamedMP Fabulous pic of a pretty woman.
1517618708759207937,danmzurek,Fri Apr 22 21:37:50 +0000 2022,-118.36964499999999,34.0870095,Customer obsessed vs. competitor obsessed — avoid the latter when scaling a biz and always aim for the former.
